YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
881,0,8,16,49.28010349,-123.1178719,0,38,1,1,1
882,0,9,22,49.28263609,-123.1217692,21,59,2,1,1
883,0,7,18,49.28941588,-123.1322923,19,5,0,1,22
884,0,5,24,49.28340971,-123.1128748,13,46,1,1,1
886,0,0,8,49.28340971,-123.1128748,19,18,2,1,1
887,0,9,14,49.2847069,-123.1109251,21,0,1,1,1
891,0,8,5,49.2782752,-123.0441058,20,5,4,1,5
892,0,2,6,49.26193984,-123.0443249,11,33,3,1,14
893,0,3,2,49.25061489,-123.0442598,8,54,2,1,14
894,0,4,9,49.27325586,-123.0441701,18,32,4,1,5
896,0,6,13,49.27494639,-123.1019672,15,32,-1,1,1
897,0,3,8,49.27658466,-123.0897484,13,20,1,1,19
898,0,5,29,49.28118883,-123.0914755,9,10,-1,1,19
899,0,9,21,49.23298779,-123.0972105,8,0,1,1,20
900,0,6,30,49.23298779,-123.0972105,11,50,2,1,20
901,0,10,23,49.28484152,-123.0637337,22,45,-1,1,4
904,0,3,16,49.2838572,-123.07036,1,29,2,1,4
905,0,9,14,49.27145082,-123.1681784,21,43,1,1,9
906,0,7,22,49.26087877,-123.1434859,13,15,4,1,3
908,0,0,1,49.27965112,-123.1365833,17,22,2,1,22
910,0,7,1,49.27696639,-123.1324377,11,0,4,1,22
913,0,2,25,49.276811,-123.1089689,11,20,1,1,1
916,0,9,11,49.27397418,-123.1213354,18,40,5,1,1
917,0,9,14,49.21076244,-123.1315605,20,19,1,1,10
918,0,0,28,49.26300714,-123.1048977,18,40,1,1,11
922,0,5,1,49.26924103,-123.1046634,18,47,-1,1,11
923,0,10,13,49.25663828,-123.1051728,18,36,3,1,15
924,0,7,4,49.25663828,-123.1051728,9,20,0,1,15
926,0,6,2,49.25663828,-123.1051728,18,30,2,1,15
927,0,6,13,49.20847011,-123.1302639,22,47,-1,1,10
928,0,4,30,49.21073699,-123.1302012,19,8,4,1,10
932,0,4,3,49.21073699,-123.1302012,12,21,5,1,10
935,0,11,19,49.21711571,-123.1292567,17,30,4,1,10
937,0,4,13,49.22153322,-123.1285129,20,51,1,1,13
938,0,3,9,49.22568021,-123.1283589,14,45,2,1,13
939,0,10,15,49.22653482,-123.1283061,20,50,5,1,13
940,0,9,0,49.22653482,-123.1283061,12,45,1,1,13
942,0,2,26,49.22930543,-123.1282446,17,52,2,1,13
943,0,10,4,49.24143148,-123.1278364,6,35,1,1,16
944,0,0,25,49.24143148,-123.1278364,19,47,5,1,16
946,0,5,24,49.25352158,-123.1273729,19,0,1,1,16
947,0,1,2,49.25711085,-123.1272172,5,6,-1,1,16
948,0,8,2,49.21445223,-123.1300324,19,32,1,1,10
949,0,0,29,49.21445223,-123.1300324,22,8,2,1,10
952,0,10,0,49.27442503,-123.208744,17,30,4,1,23
953,0,8,29,49.25061588,-123.0416078,17,10,0,1,14
